Year,Sample_ID,Tissue_type,Coral,Depth,Atoll,Site,Host_d13C,Host_d15N,Host_C_ug,Host_wt-percent_C,Host_wt-percent_C_num,Host_N_ug,Host_wt-percent_N,Host_wt-percent_N_num,Host_dry-weight_mg,Host_dry-weight_ug,Host_CN_molar-ratio
2015,HM002,Host,Pachyseris,Deep,North Male,Reethi Rah,-15.7,5,261.46,0.071,7.1,46.49,0.013,1.3,3.691,3691,6.6
2015,HM005,Host,Pachyseris,Deep,North Male,Reethi Rah,-15,5,307.32,0.084,8.4,55.1,0.015,1.5,3.65,3650,6.5
2015,HM009,Host,Pachyseris,Deep,North Male,Reethi Rah,-14.7,5.2,234.47,0.063,6.3,44.28,0.012,1.2,3.698,3698,6.2
2015,HM010,Host,Galaxea,Deep,North Male,Reethi Rah,-17.3,5.1,159.66,0.044,4.4,33.7,0.009,0.9,3.626,3626,5.5
2015,HM011,Host,Galaxea,Deep,North Male,Reethi Rah,-17.6,5.7,185.55,0.051,5.1,36,0.01,1,3.669,3669,6
2015,HM012,Host,Galaxea,Deep,North Male,Reethi Rah,-17.4,5.3,274.18,0.074,7.4,48.56,0.013,1.3,3.683,3683,6.6
2015,HM016,Host,Pachyseris,Shallow,North Male,Reethi Rah,-13,5.8,393.54,0.109,10.9,71.11,0.02,2,3.621,3621,6.5
2015,HM017,Host,Pachyseris,Shallow,North Male,Reethi Rah,-16.4,4.7,269.44,0.074,7.4,58.46,0.016,1.6,3.662,3662,5.4
2015,HM021,Host,Galaxea,Shallow,North Male,Reethi Rah,-14.5,4.6,218.58,0.059,5.9,44.88,0.012,1.2,3.674,3674,5.7
2015,HM024,Host,Galaxea,Shallow,North Male,Reethi Rah,-15,5.2,291.97,0.08,8,55.81,0.015,1.5,3.658,3658,6.1
2015,HM031,Host,Galaxea,Shallow,North Male,Reethi Rah,-15,4.9,328.81,0.091,9.1,63.86,0.018,1.8,3.63,3630,6
2015,HM034,Host,Pachyseris,Deep,North Ari,Mathiveri,-14.5,4.7,250.89,0.069,6.9,45.79,0.013,1.3,3.619,3619,6.4
2015,HM035,Host,Pachyseris,Deep,North Ari,Mathiveri,-15.5,5,172.89,0.047,4.7,31.58,0.009,0.9,3.645,3645,6.4
2015,HM037,Host,Pachyseris,Deep,North Ari,Mathiveri,-15.9,4.6,179.67,0.049,4.9,33.47,0.009,0.9,3.643,3643,6.3
2015,HM040,Host,Galaxea,Deep,North Ari,Mathiveri,-16.6,5.4,399.46,0.111,11.1,63.34,0.018,1.8,3.611,3611,7.4
2015,HM041,Host,Galaxea,Deep,North Ari,Mathiveri,-17.6,5.4,310.86,0.086,8.6,70.3,0.019,1.9,3.635,3635,5.2
2015,HM045,Host,Galaxea,Deep,North Ari,Mathiveri,-17.7,6.2,408.9,0.112,11.2,77.32,0.021,2.1,3.649,3649,6.2
2015,HM050,Host,Galaxea,Shallow,North Ari,Mathiveri,-15.3,5.3,615.95,0.169,16.9,114.76,0.031,3.1,3.645,3645,6.3
2015,HM055,Host,Galaxea,Shallow,North Ari,Mathiveri,-14.8,5.7,590.13,0.163,16.3,116.06,0.032,3.2,3.611,3611,5.9
2015,HM056,Host,Galaxea,Shallow,North Ari,Mathiveri,-15.9,5.4,455.48,0.124,12.4,92.55,0.025,2.5,3.662,3662,5.7
2015,HM059,Host,Galaxea,Deep,North Ari,Dinoluga,-18,6.1,213.86,0.059,5.9,49.71,0.014,1.4,3.621,3621,5
2015,HM060,Host,Galaxea,Deep,North Ari,Dinoluga,-17.7,5.6,431.52,0.117,11.7,78.29,0.021,2.1,3.686,3686,6.4
2015,HM061,Host,Galaxea,Deep,North Ari,Dinoluga,-17.2,5.9,323.82,0.089,8.9,63.92,0.018,1.8,3.65,3650,5.9
2015,HM063,Host,Pocillopora,Deep,North Ari,Dinoluga,-17,5.4,226.5,0.062,6.2,41.84,0.011,1.1,3.665,3665,6.3
2015,HM068,Host,Pocillopora,Deep,North Ari,Dinoluga,-18.3,5.2,190.85,0.053,5.3,34.39,0.01,1,3.616,3616,6.5
2015,HM069,Host,Pocillopora,Deep,North Ari,Dinoluga,-19.2,5.2,202.85,0.056,5.6,41.36,0.011,1.1,3.617,3617,5.7
2015,HM071,Host,Pachyseris,Deep,North Ari,Dinoluga,-13.8,5.5,274.18,0.075,7.5,50.4,0.014,1.4,3.68,3680,6.3
2015,HM074,Host,Pachyseris,Deep,North Ari,Dinoluga,-13.9,5.7,321.53,0.088,8.8,56.14,0.015,1.5,3.664,3664,6.7
2015,HM076,Host,Pachyseris,Deep,North Ari,Dinoluga,-18.5,4,159.63,0.044,4.4,26.3,0.007,0.7,3.633,3633,7.1
2015,HM078,Host,Galaxea,Shallow,North Ari,Dinoluga,-15.2,4.7,735.68,0.201,20.1,119.24,0.033,3.3,3.655,3655,7.2
2015,HM079,Host,Galaxea,Shallow,North Ari,Dinoluga,-15.5,5.3,492.73,0.137,13.7,86.82,0.024,2.4,3.604,3604,6.6
2015,HM082,Host,Galaxea,Shallow,North Ari,Dinoluga,-15.5,5,339.52,0.094,9.4,73.4,0.02,2,3.596,3596,5.4
