Year,Sample_ID,Tissue_type,Coral,Depth,Atoll,Site,d13C,d15N,C_ug,wt-percent_C,wt-percent_C_num,N_ug,wt-percent_N,wt-percent_N_num,dry-weight_mg,dry-weight_ug,CN_molar-ratio
2015,HM002,Host,Pachyseris,Deep,North Male,Reethi Rah,-15.7,5.0,261.5,0.071,7.1,46.5,0.013,1.3,3.691,3691,6.6
2015,HM005,Host,Pachyseris,Deep,North Male,Reethi Rah,-15.0,5.0,307.3,0.084,8.4,55.1,0.015,1.5,3.650,3650,6.5
2015,HM009,Host,Pachyseris,Deep,North Male,Reethi Rah,-14.7,5.2,234.5,0.063,6.3,44.3,0.012,1.2,3.698,3698,6.2
2015,HM010,Host,Galaxea,Deep,North Male,Reethi Rah,-17.3,5.1,159.7,0.044,4.4,33.7,0.009,0.9,3.626,3626,5.5
2015,HM011,Host,Galaxea,Deep,North Male,Reethi Rah,-17.6,5.7,185.6,0.051,5.1,36.0,0.010,1.0,3.669,3669,6.0
2015,HM012,Host,Galaxea,Deep,North Male,Reethi Rah,-17.4,5.3,274.2,0.074,7.4,48.6,0.013,1.3,3.683,3683,6.6
2015,HM016,Host,Pachyseris,Shallow,North Male,Reethi Rah,-13.0,5.8,393.5,0.109,10.9,71.1,0.020,2.0,3.621,3621,6.5
2015,HM017,Host,Pachyseris,Shallow,North Male,Reethi Rah,-16.4,4.7,269.4,0.074,7.4,58.5,0.016,1.6,3.662,3662,5.4
2015,HM021,Host,Galaxea,Shallow,North Male,Reethi Rah,-14.5,4.6,218.6,0.059,5.9,44.9,0.012,1.2,3.674,3674,5.7
2015,HM024,Host,Galaxea,Shallow,North Male,Reethi Rah,-15.0,5.2,292.0,0.080,8.0,55.8,0.015,1.5,3.658,3658,6.1
2015,HM031,Host,Galaxea,Shallow,North Male,Reethi Rah,-15.0,4.9,328.8,0.091,9.1,63.9,0.018,1.8,3.630,3630,6.0
2015,HM034,Host,Pachyseris,Deep,North Ari,Mathiveri,-14.5,4.7,250.9,0.069,6.9,45.8,0.013,1.3,3.619,3619,6.4
2015,HM035,Host,Pachyseris,Deep,North Ari,Mathiveri,-15.5,5.0,172.9,0.047,4.7,31.6,0.009,0.9,3.645,3645,6.4
2015,HM037,Host,Pachyseris,Deep,North Ari,Mathiveri,-15.9,4.6,179.7,0.049,4.9,33.5,0.009,0.9,3.643,3643,6.3
2015,HM040,Host,Galaxea,Deep,North Ari,Mathiveri,-16.6,5.4,399.5,0.111,11.1,63.3,0.018,1.8,3.611,3611,7.4
2015,HM041,Host,Galaxea,Deep,North Ari,Mathiveri,-17.6,5.4,310.9,0.086,8.6,70.3,0.019,1.9,3.635,3635,5.2
2015,HM045,Host,Galaxea,Deep,North Ari,Mathiveri,-17.7,6.2,408.9,0.112,11.2,77.3,0.021,2.1,3.649,3649,6.2
2015,HM050,Host,Galaxea,Shallow,North Ari,Mathiveri,-15.3,5.3,616.0,0.169,16.9,114.8,0.031,3.1,3.645,3645,6.3
2015,HM055,Host,Galaxea,Shallow,North Ari,Mathiveri,-14.8,5.7,590.1,0.163,16.3,116.1,0.032,3.2,3.611,3611,5.9
2015,HM056,Host,Galaxea,Shallow,North Ari,Mathiveri,-15.9,5.4,455.5,0.124,12.4,92.6,0.025,2.5,3.662,3662,5.7
2015,HM059,Host,Galaxea,Deep,North Ari,Dinoluga,-18.0,6.1,213.9,0.059,5.9,49.7,0.014,1.4,3.621,3621,5.0
2015,HM060,Host,Galaxea,Deep,North Ari,Dinoluga,-17.7,5.6,431.5,0.117,11.7,78.3,0.021,2.1,3.686,3686,6.4
2015,HM061,Host,Galaxea,Deep,North Ari,Dinoluga,-17.2,5.9,323.8,0.089,8.9,63.9,0.018,1.8,3.650,3650,5.9
2015,HM063,Host,Pocillopora,Deep,North Ari,Dinoluga,-17.0,5.4,226.5,0.062,6.2,41.8,0.011,1.1,3.665,3665,6.3
2015,HM068,Host,Pocillopora,Deep,North Ari,Dinoluga,-18.3,5.2,190.9,0.053,5.3,34.4,0.010,1.0,3.616,3616,6.5
2015,HM069,Host,Pocillopora,Deep,North Ari,Dinoluga,-19.2,5.2,202.9,0.056,5.6,41.4,0.011,1.1,3.617,3617,5.7
2015,HM071,Host,Pachyseris,Deep,North Ari,Dinoluga,-13.8,5.5,274.2,0.075,7.5,50.4,0.014,1.4,3.680,3680,6.3
2015,HM074,Host,Pachyseris,Deep,North Ari,Dinoluga,-13.9,5.7,321.5,0.088,8.8,56.1,0.015,1.5,3.664,3664,6.7
2015,HM076,Host,Pachyseris,Deep,North Ari,Dinoluga,-18.5,4.0,159.6,0.044,4.4,26.3,0.007,0.7,3.633,3633,7.1
2015,HM078,Host,Galaxea,Shallow,North Ari,Dinoluga,-15.2,4.7,735.7,0.201,20.1,119.2,0.033,3.3,3.655,3655,7.2
2015,HM079,Host,Galaxea,Shallow,North Ari,Dinoluga,-15.5,5.3,492.7,0.137,13.7,86.8,0.024,2.4,3.604,3604,6.6
2015,HM082,Host,Galaxea,Shallow,North Ari,Dinoluga,-15.5,5.0,339.5,0.094,9.4,73.4,0.020,2.0,3.596,3596,5.4
