Year,Sample_ID_Host,Coral,Depth,Atoll,Site,d13C_Host,d15N_Host,C_ug_Host,C_wt-percent_Host,C_wt-percent-num_Host,N_ug_Host,N_wt-percent_Host,N_wt-percent-num_Host,dry-weight_mg_Host,dry-weight_ug_Host,CN_molar-ratio_Host,Sample_ID_Sym,d13C_Sym,d15N_Sym,C_ug_Sym,C_wt-percent_Sym,C_wt-percent-num_Sym,N_ug_Sym,N_wt-percent_Sym,N_wt-percent-num_Sym,dry-weight_mg_Sym,dry-weight_ug_Sym,CN_molar-ratio_Sym,d13C_host-sym,d15N_host-sym
2015,HM002,Pachyseris,Deep,North Male,Reethi Rah,-15.7,5.0,261.5,0.071,7.1,46.5,0.013,1.3,3.691,3691,6.6,ZM002,-15.4,5.3,518,0.243,24.3,65.4,0.031,3.1,2.132,2132,9.2,-0.3,-0.3
2015,HM005,Pachyseris,Deep,North Male,Reethi Rah,-15.0,5.0,307.3,0.084,8.4,55.1,0.015,1.5,3.65,3650,6.5,ZM005,-15.1,5.3,332.5,0.156,15.6,40.6,0.019,1.9,2.13,2130,9.6,0.1,-0.3
2015,HM009,Pachyseris,Deep,North Male,Reethi Rah,-14.7,5.2,234.5,0.063,6.3,44.3,0.012,1.2,3.698,3698,6.2,ZM009,-14.4,5.1,428.4,0.209,20.9,47,0.023,2.3,2.052,2052,10.6,-0.3,0.1
2015,HM010,Galaxea,Deep,North Male,Reethi Rah,-17.3,5.1,159.7,0.044,4.4,33.7,0.009,0.9,3.626,3626,5.5,ZM010,-17.4,4.5,367.5,0.181,18.1,56,0.028,2.8,2.036,2036,7.7,0.1,0.6
2015,HM011,Galaxea,Deep,North Male,Reethi Rah,-17.6,5.7,185.6,0.051,5.1,36,0.01,1,3.669,3669,6,ZM011,-17.2,5.5,318,0.155,15.5,43.3,0.021,2.1,2.053,2053,8.6,-0.4,0.2
2015,HM012,Galaxea,Deep,North Male,Reethi Rah,-17.4,5.3,274.2,0.074,7.4,48.6,0.013,1.3,3.683,3683,6.6,ZM012,-17.2,4.3,482.2,0.239,23.9,69.8,0.035,3.5,2.019,2019,8.1,-0.2,1.0
2015,HM016,Pachyseris,Shallow,North Male,Reethi Rah,-13.0,5.8,393.5,0.109,10.9,71.1,0.02,2,3.621,3621,6.5,ZM016,-8.9,5.1,275.9,0.133,13.3,24.1,0.012,1.2,2.067,2067,13.4,-4.1,0.7
2015,HM017,Pachyseris,Shallow,North Male,Reethi Rah,-16.4,4.7,269.4,0.074,7.4,58.5,0.016,1.6,3.662,3662,5.4,ZM017,-16.6,4.8,486,0.232,23.2,42,0.02,2,2.095,2095,13.5,0.2,-0.1
2015,HM021,Galaxea,Shallow,North Male,Reethi Rah,-14.5,4.6,218.6,0.059,5.9,44.9,0.012,1.2,3.674,3674,5.7,ZM021,-14.4,3.9,559.4,0.272,27.2,105.2,0.051,5.1,2.056,2056,6.2,-0.1,0.7
2015,HM024,Galaxea,Shallow,North Male,Reethi Rah,-15.0,5.2,292,0.08,8,55.8,0.015,1.5,3.658,3658,6.1,ZM024,-14.0,4.7,454.5,0.216,21.6,64.5,0.031,3.1,2.106,2106,8.2,-1.0,0.5
2015,HM031,Galaxea,Shallow,North Male,Reethi Rah,-15.0,4.9,328.8,0.091,9.1,63.9,0.018,1.8,3.63,3630,6,ZM031,-14.4,4.3,380.3,0.188,18.8,64,0.032,3.2,2.022,2022,6.9,-0.6,0.6
