Sample_ID,Tissue_type,Volume_hexane_mL,Dry_weight_mg,mass-total-FA-per-mg-dry-weight,Coral,Depth,Year,Sample_ID_iso,Fraction,Coral,Depth,Atoll,Site,C_ug,wt-percent_C,N_ug,wt-percent_N,dry-weight_mg,dry-weight_ug,CN_molar-element-ratio,wt-percent_N_num,wt-percent_C_num,d13C,d15N,c14:0,c14:1,c15:0,c16:0,c16:1n-7,c17:0,c18:0,c18:1n-9,c18:1n-7,c18:2n-6,c18:3n-6,c18:3n-3,c18:4n-3,c20:0,c20:1n-11,c20:1n-9,c20:1n-7,c20:2n-6,c20:3n-6,c20:4n-6,c20:4n-3,c20:5n-3,c22:0,c22:1n-11,c22:1n-9,c22:1n-7,c22:4n-6,c22:5n-3,c22:6n-3,c24:0
H423-R,Host,0.5,5.2,0.0055,Pachyseris,Deep,2017,HM423,Host,Pachyseris,Deep,North Ari,Dinoluga,330.06,0.09,58.07,0.016,3.684,3684,6.6,1.6,9,-16.3,5.7,1.533,0,0.375,37.636,3.509,0,29.972,4.724,2.028,1.263,1.667,0,0.614,1.625,0,0.631,0,0.653,0.604,5.324,0,0.922,0.849,0,0.916,0,4.567,0,0.589,0
H432-R,Host,0.5,5.3,0.0013,Galaxea,Deep,2017,HM432,Host,Galaxea,Deep,North Ari,Dinoluga,154.47,0.042,38.93,0.011,3.682,3682,4.6,1.1,4.2,-18.5,5.4,1.346,0,0,40.263,2.296,0,26.063,2.425,0,0,1.863,0,0,2.461,0,0,0,0,1.893,4.931,0,7.241,0,0,0,0,7.617,0,1.601,0
H452-R,Host,0.5,5.2,0.0083,Galaxea,Shallow,2017,HM452,Host,Galaxea,Shallow,North Ari,Dinoluga,199.53,0.054,44.52,0.012,3.693,3693,5.2,1.2,5.4,-19,5.6,2.304,0,0.285,41.329,2.9,0.319,23.838,2.337,0.851,1.025,2.246,0,0.535,3.387,0,0.196,0,0.372,1.318,5.885,0,0.843,0.722,0,1.101,0,6.548,0.324,0.883,0.454
H472-R,Host,0.5,5.3,0.0016,Pachyseris,Deep,2017,HM472,Host,Pachyseris,Deep,South Ari,Dhiggaru Falhu,115.51,0.032,25.01,0.007,3.632,3632,5.4,0.7,3.2,-15.5,5.4,1.439,0,0,33.094,1.56,0,36.013,2.09,1.697,0,2.07,0,0,1.555,0,0,1.836,0,0,6.003,0,0,0,0,0,2.147,10.495,0,0,0
H489-R,Host,0.5,5.3,0.0011,Pachyseris,Shallow,2017,HM489,Host,Pachyseris,Shallow,South Ari,Dhiggaru Falhu,258.12,0.07,46.75,0.013,3.671,3671,6.4,1.3,7,-17.2,6.2,3.342,0,0,36.945,0,0,40.049,3.124,0,0,0,0,0,0,0,0,0,0,0,4.407,0,0,0,0,0,5.404,6.729,0,0,0
H601,Host,1.5,5.2,0.0107,Pocillopora,Deep,2017,HM601,Host,Pocillopora,Deep,Dhaalu,Maafushi,393.82,0.108,84.94,0.023,3.632,3632,5.4,2.3,10.8,-18.3,5.7,3.441,0,0.769,34.63,2.597,8.377,19.336,3.459,0.783,0.768,1.958,0,1.585,2.044,0,1.588,0,0,2.573,4.014,0,2.031,0.523,0,0,0,4.161,1.456,3.907,0
H611-R,Host,0.5,5.2,0.0035,Pocillopora,Shallow,2017,HM611,Host,Pocillopora,Shallow,Dhaalu,Maafushi,263.53,0.072,59.73,0.016,3.664,3664,5.1,1.6,7.2,-17.8,5.9,2.544,0,0,42.938,2.422,0.496,29.945,4.599,0.963,0.604,0.532,0,1.019,2.988,0,2.363,0,0,1.263,1.476,0,0,0.673,0,1.364,0.731,2.087,0,0.992,0
H670-R,Host,0.5,5.3,0.0054,Pocillopora,Deep,2017,HM670,Host,Pocillopora,Deep,Dhaalu,Hulhuvehi,331.89,0.091,72.95,0.02,3.644,3644,5.3,2,9.1,-19.3,6.1,3.027,0,0.705,38.623,1.967,0.551,30.224,4.232,1.04,0.4,0.388,0,0.592,3.31,0,3.003,0,0.384,1.015,1.275,0,5.756,0.879,0,0.42,0,1.849,0,0.36,0
H679-R,Host,0.5,5.3,0.0019,Galaxea,Deep,2017,HM679,Host,Galaxea,Deep,Dhaalu,Hulhuvehi,251.08,0.069,56.24,0.015,3.632,3632,5.2,1.5,6.9,-17.5,6,0.677,0,0,36.803,1.547,0,24.341,3.2,0,0,0.936,0,0,3.196,0,0,0,0,2.452,6.376,0,13.236,0,0,0,0,5.941,0,1.297,0
H700-R,Host,0.5,5.1,0.0033,Pocillopora,Shallow,2017,HM700,Host,Pocillopora,Shallow,Dhaalu,Hulhuvehi,192.85,0.053,44.68,0.012,3.664,3664,5,1.2,5.3,-18.5,5.9,1.308,0,0,29.948,2.86,0,23.596,3.857,0.623,1.154,3.157,0,0.85,2.882,0,1.202,0,0.619,6.173,4.675,0,5.951,0.516,0,0,0,6.167,0.585,3.877,0
H710-R,Host,0.5,5.3,0.0022,Galaxea,Shallow,2017,HM710,Host,Galaxea,Shallow,Dhaalu,Hulhuvehi,178.24,0.048,40.54,0.011,3.696,3696,5.1,1.1,4.8,-15,6.1,1.812,0,0,45.527,2.183,0,23.194,2.584,0.805,0.849,0.937,0,0,3.056,0,0,0,0,0.994,2.893,0,11.741,0,0,0,0,3.424,0,0,0
H725-R,Host,0.5,5.3,0.0014,Pachyseris,Shallow,2017,HM725,Host,Pachyseris,Shallow,Meemu,Kurali,,,179.68,0.049,3.696,3696,,4.9,,-16.4,5.8,0.677,0,0,24.976,2.684,0,28.245,2.718,1.42,1.549,3.737,0,5.804,1.567,0,0,0,0,0,12.742,0,0,0,0,0,2.395,9.294,0,2.192,0
H733-R,Host,0.5,5.1,0.0035,Pocillopora,Deep,2017,HM733,Host,Pocillopora,Deep,Meemu,Bodu huraa,344.51,0.094,73.96,0.02,3.657,3657,5.4,2,9.4,-19.2,5.8,3.05,0,0,37.645,2.275,0.327,26.871,3.071,0.668,0.588,1.346,0,1.398,2.885,0,1.407,0,0,1.356,2.854,0,6.525,0.517,0,0.493,0,4.101,0.589,2.033,0
H738-R,Host,0.5,5.1,0.002,Galaxea,Deep,2017,HM738,Host,Galaxea,Deep,Meemu,Bodu huraa,229.91,0.063,52.89,0.014,3.658,3658,5.1,1.4,6.3,-17.1,5.7,1.215,0,0,34.906,1.626,0,25.658,2.006,0,0,1.114,0,0,2.804,0,0,0,0,1.435,3.055,0,17.723,0,0,0,0,8.458,0,0,0
H747,Host,0.5,5.4,0.0015,Pachyseris,Deep,2017,HM747,Host,Pachyseris,Deep,Meemu,Bodu huraa,249.1,0.068,50.08,0.014,3.646,3646,5.8,1.4,6.8,-15.3,5.7,2.864,0,0,37.73,2.567,0,36.731,2.158,1.697,1.042,1.354,0,0,1.415,0,0,0,0,0,4.752,0,0,1.125,0,0,0,6.564,0,0,0
H761,Host,1.5,5.3,0.0057,Galaxea,Shallow,2017,HM761,Host,Galaxea,Shallow,Meemu,Bodu huraa,356.23,0.098,70.27,0.019,3.62,3620,5.9,1.9,9.8,-15.6,5.7,1.55,0,0,35.611,3.048,4.55,20.907,3.227,0.836,1.859,3.765,0,1.15,1.48,0,0,0,0,2.648,6.111,0,0.907,0,0,0,0,8.419,0,3.933,0
H768,Host,0.5,5.3,0.0025,Pachyseris,Shallow,2017,HM768,Host,Pachyseris,Shallow,Meemu,Bodu huraa,243.88,0.067,49,0.013,3.661,3661,5.8,1.3,6.7,-16.1,5.4,2.254,0,0,44.118,1.922,0.667,37.176,2.408,1.667,0.902,0.569,0,0,1.872,0,0,0,0,0,2.248,0,0,1.351,0,0,0,2.846,0,0,0
H780,Host,1.5,5.2,0.0036,Pocillopora,Shallow,2017,HM780,Host,Pocillopora,Shallow,Meemu,Bodu huraa,279.32,0.077,58.37,0.016,3.626,3626,5.6,1.6,7.7,-17.4,6,4.217,0,0,45.785,2.507,0,26.289,5.615,0,0,1.265,0,0,2.83,0,2.415,0,0,2.378,1.652,0,0,0,0,0,0,2.488,0,2.559,0
