Year,Sample_ID,Tissue_type,Coral,Depth,Atoll,Site,Symbiont_d13C,Symbiont_d15N,Symbiont_C_ug,Symbiont_wt-percent_C,Symbiont_wt-percent_C_num,Symbiont_N_ug,Symbiont_wt-percent_N,Symbiont_wt-percent_N_num,Symbiont_dry-weight_mg,Symbiont_dry-weight_ug,Symbiont_CN_molar-ratio
2015,ZM002,Symbiont,Pachyseris,Deep,North Male,Reethi Rah,-15.4,5.3,518,0.243,24.3,65.4,0.031,3.1,2.132,2132,9.2
2015,ZM005,Symbiont,Pachyseris,Deep,North Male,Reethi Rah,-15.1,5.3,332.5,0.156,15.6,40.6,0.019,1.9,2.13,2130,9.6
2015,ZM009,Symbiont,Pachyseris,Deep,North Male,Reethi Rah,-14.4,5.1,428.4,0.209,20.9,47,0.023,2.3,2.052,2052,10.6
2015,ZM010,Symbiont,Galaxea,Deep,North Male,Reethi Rah,-17.4,4.5,367.5,0.181,18.1,56,0.028,2.8,2.036,2036,7.7
2015,ZM011,Symbiont,Galaxea,Deep,North Male,Reethi Rah,-17.2,5.5,318,0.155,15.5,43.3,0.021,2.1,2.053,2053,8.6
2015,ZM012,Symbiont,Galaxea,Deep,North Male,Reethi Rah,-17.2,4.3,482.2,0.239,23.9,69.8,0.035,3.5,2.019,2019,8.1
2015,ZM016,Symbiont,Pachyseris,Shallow,North Male,Reethi Rah,-8.9,5.1,275.9,0.133,13.3,24.1,0.012,1.2,2.067,2067,13.4
2015,ZM017,Symbiont,Pachyseris,Shallow,North Male,Reethi Rah,-16.6,4.8,486,0.232,23.2,42,0.02,2,2.095,2095,13.5
2015,ZM021,Symbiont,Galaxea,Shallow,North Male,Reethi Rah,-14.4,3.9,559.4,0.272,27.2,105.2,0.051,5.1,2.056,2056,6.2
2015,ZM024,Symbiont,Galaxea,Shallow,North Male,Reethi Rah,-14,4.7,454.5,0.216,21.6,64.5,0.031,3.1,2.106,2106,8.2
2015,ZM031,Symbiont,Galaxea,Shallow,North Male,Reethi Rah,-14.4,4.3,380.3,0.188,18.8,64,0.032,3.2,2.022,2022,6.9
2015,ZM034,Symbiont,Pachyseris,Deep,North Ari,Mathiveri,-12.4,4.8,215.7,0.108,10.8,26.9,0.013,1.3,2.001,2001,9.4
2015,ZM035,Symbiont,Pachyseris,Deep,North Ari,Mathiveri,-13.7,5.4,201.3,0.1,10,25.6,0.013,1.3,2.018,2018,9.2
2015,ZM037,Symbiont,Pachyseris,Deep,North Ari,Mathiveri,-12.1,4.5,213.7,0.106,10.6,23.8,0.012,1.2,2.024,2024,10.5
2015,ZM040,Symbiont,Galaxea,Deep,North Ari,Mathiveri,-16.5,4.6,250.4,0.115,11.5,39.5,0.018,1.8,2.181,2181,7.4
2015,ZM041,Symbiont,Galaxea,Deep,North Ari,Mathiveri,-17.8,3.4,472.6,0.234,23.4,79.4,0.039,3.9,2.022,2022,6.9
2015,ZM045,Symbiont,Galaxea,Deep,North Ari,Mathiveri,-17.7,4,299.5,0.149,14.9,44.9,0.022,2.2,2.013,2013,7.8
